event_id,title,description,event_type,domain,location,mode,start_date,end_date,duration_days,registration_deadline,organizer,cost_inr,min_team_size,max_team_size,eligibility
E001,Generative AI Hackathon,"Build practical AI applications using LLMs, prompt engineering and Python.",Hackathon,Design,Chennai,Offline,2026-11-25,2026-12-08,14,2026-11-16,Developer Community,299,2,4,Open to all students
E002,Machine Learning Workshop,"Hands-on machine learning with Python, Scikit-learn and model evaluation.",Workshop,Emerging Tech,Pune,Hybrid,2026-09-29,2026-10-05,7,2026-09-19,Cloud Community,0,1,6,College students
E003,Deep Learning with PyTorch,"Learn neural networks, computer vision and model training using PyTorch.",Workshop,Web,Madurai,Offline,2026-10-25,2026-10-26,2,2026-10-18,Innovation Cell,0,2,4,Students and recent graduates
E004,Data Science Challenge,Analyze real-world datasets and build predictive models.,Competition,DevOps,Kochi,Offline,2026-12-26,2026-12-26,1,2026-12-20,Innovation Cell,999,3,5,College students
E005,React Full Stack Hackathon,"Build modern web applications using React, Node.js and REST APIs.",Hackathon,Cloud,Salem,Offline,2026-12-04,2026-12-10,7,2026-11-20,Open Source Club,0,2,5,Students and recent graduates
E006,Cybersecurity Capture the Flag,Solve defensive and ethical hacking challenges across networks and web systems.,Competition,DevOps,Pune,Hybrid,2026-11-10,2026-11-14,5,2026-10-31,Developer Community,0,4,8,College students
E007,AWS Cloud Bootcamp,"Learn cloud architecture, deployment, containers and AWS services.",Workshop,Cybersecurity,Bangalore,Offline,2026-10-09,2026-10-15,7,2026-09-27,Developer Community,299,4,8,College students
E008,DevOps Engineering Workshop,"Practice Docker, Kubernetes, CI/CD and cloud deployment.",Workshop,Emerging Tech,Online,Online,2026-12-21,2026-12-22,2,2026-12-11,Developer Community,299,4,6,Students and recent graduates
E009,Data Engineering Sprint,Build ETL pipelines and data systems using Python and SQL.,Hackathon,AI,Bangalore,Hybrid,2026-09-29,2026-10-05,7,2026-09-16,TechFest,0,3,4,Open to all students
E010,IoT Robotics Challenge,Design connected devices and autonomous robotics solutions.,Competition,Emerging Tech,Coimbatore,Offline,2026-09-07,2026-09-08,2,2026-08-27,Open Source Club,199,2,4,Open to all students
E011,UI/UX Design Workshop,"Learn user research, wireframing and interface design with Figma.",Workshop,Design,Madurai,Hybrid,2026-09-07,2026-09-07,1,2026-08-27,TechFest,499,2,6,Open to all students
E012,Mobile App Hackathon,Create cross-platform mobile applications and cloud-backed services.,Hackathon,Web,Coimbatore,Offline,2026-10-06,2026-10-07,2,2026-09-24,Developer Community,299,2,6,Students and recent graduates
E013,Blockchain Innovation Challenge,Develop decentralized applications and blockchain solutions.,Hackathon,AI,Online,Online,2026-10-07,2026-10-20,14,2026-10-01,Cloud Community,0,4,4,Open to all students
E014,Cloud Security Conference,"Explore secure cloud architecture, identity and threat protection.",Conference,DevOps,Kochi,Hybrid,2026-09-13,2026-09-26,14,2026-09-10,Innovation Cell,499,1,4,Students and recent graduates
E015,NLP Research Workshop,Build text-processing and natural-language applications.,Workshop,AI,Hyderabad,Hybrid,2026-10-10,2026-10-10,1,2026-10-06,AI Club,499,2,4,Students and recent graduates
E016,Computer Vision Challenge,Build image recognition and visual AI applications.,Competition,Data,Coimbatore,Hybrid,2026-09-26,2026-10-02,7,2026-09-20,Innovation Cell,299,2,6,Open to all students
E017,Power BI Analytics Workshop,Create dashboards and business insights from structured data.,Workshop,Cloud,Coimbatore,Hybrid,2026-10-05,2026-10-05,1,2026-09-27,Developer Community,299,3,8,College students
E018,Database Engineering Workshop,Design reliable relational and NoSQL database systems.,Workshop,Cloud,Madurai,Hybrid,2026-10-31,2026-11-01,2,2026-10-18,TechFest,299,4,8,Open to all students
E019,Algorithms Coding Competition,Solve algorithmic programming problems under time constraints.,Competition,Web,Pune,Offline,2026-10-24,2026-11-06,14,2026-10-11,Developer Community,0,4,8,Students and recent graduates
E020,Open Source Contribution Sprint,Collaborate on software projects using Git and GitHub workflows.,Workshop,Design,Salem,Hybrid,2026-12-12,2026-12-14,3,2026-12-08,Innovation Cell,0,1,5,Students and recent graduates
E021,Generative AI Hackathon 2,"Build practical AI applications using LLMs, prompt engineering and Python.",Hackathon,Design,Mumbai,Offline,2026-11-21,2026-11-27,7,2026-11-13,Developer Community,999,2,4,Students and recent graduates
E022,Machine Learning Workshop 2,"Hands-on machine learning with Python, Scikit-learn and model evaluation.",Workshop,Cloud,Bangalore,Offline,2026-10-10,2026-10-12,3,2026-10-03,AI Club,199,1,4,Students and recent graduates
